,Iteration,Test,Train
236,237,0.8602,0.8602
237,238,0.8598,0.8598
238,239,0.86,0.86
239,240,0.8596,0.8596
240,241,0.8594,0.8594
241,242,0.8594,0.8594
242,243,0.8598,0.8598
243,244,0.8596,0.8596
244,245,0.8594,0.8594
245,246,0.8594,0.8594
246,247,0.8594,0.8594
247,248,0.8596,0.8596
248,249,0.8596,0.8596
249,250,0.8596,0.8596
250,251,0.8592,0.8592
251,252,0.8598,0.8598
252,253,0.859,0.859
253,254,0.8598,0.8598
254,255,0.8596,0.8596
255,256,0.8592,0.8592
256,257,0.8596,0.8596
257,258,0.8594,0.8594
258,259,0.8596,0.8596
259,260,0.8596,0.8596
260,261,0.8592,0.8592
261,262,0.8596,0.8596
262,263,0.8596,0.8596
263,264,0.8598,0.8598
264,265,0.8588,0.8588
265,266,0.8584,0.8584
266,267,0.859,0.859
267,268,0.859,0.859
268,269,0.8592,0.8592
269,270,0.8594,0.8594
270,271,0.859,0.859
271,272,0.8586,0.8586
272,273,0.859,0.859
273,274,0.8592,0.8592
274,275,0.8592,0.8592
275,276,0.859,0.859
276,277,0.859,0.859
277,278,0.8588,0.8588
278,279,0.8584,0.8584
279,280,0.8594,0.8594
280,281,0.8584,0.8584
281,282,0.8598,0.8598
282,283,0.8592,0.8592
283,284,0.8594,0.8594
284,285,0.859,0.859
285,286,0.8598,0.8598
286,287,0.8598,0.8598
287,288,0.8602,0.8602
288,289,0.86,0.86
289,290,0.8602,0.8602
290,291,0.8598,0.8598
291,292,0.8602,0.8602
292,293,0.8602,0.8602
293,294,0.86,0.86
294,295,0.8596,0.8596
295,296,0.8594,0.8594
296,297,0.8592,0.8592
297,298,0.8596,0.8596
298,299,0.8592,0.8592
299,300,0.8602,0.8602
300,301,0.8602,0.8602
301,302,0.8604,0.8604
302,303,0.8594,0.8594
303,304,0.86,0.86
304,305,0.8598,0.8598
305,306,0.8594,0.8594
306,307,0.8592,0.8592
307,308,0.8598,0.8598
308,309,0.8598,0.8598
309,310,0.86,0.86
310,311,0.86,0.86
311,312,0.8602,0.8602
312,313,0.86,0.86
313,314,0.8594,0.8594
314,315,0.8598,0.8598
315,316,0.8594,0.8594
316,317,0.859,0.859
317,318,0.8596,0.8596
318,319,0.859,0.859
319,320,0.86,0.86
320,321,0.8602,0.8602
321,322,0.8596,0.8596
322,323,0.8588,0.8588
