,Iteration,AdaBoost Test Accuracy,AdaBoost Train Accuracy,Stump Test Accuracy,Stump Train Accuracy
145,146,0.8926,0.8966,22.82,22.5
146,147,0.8926,0.8966,87.52,88.08
147,148,0.8926,0.8966,26.16,26.28
148,149,0.8928,0.8966,82.14,82.44
149,150,0.8926,0.8966,53.9,53.26
150,151,0.8928,0.8966,13.84,13.62
151,152,0.8926,0.8966,64.1,65.38
152,153,0.8926,0.8966,49.96,50.02
153,154,0.8926,0.8966,15.36,14.98
154,155,0.8926,0.8966,87.52,88.08
155,156,0.8926,0.8966,13.84,13.62
156,157,0.8928,0.8968,38.56,38.02
157,158,0.8926,0.8966,87.52,88.08
158,159,0.8926,0.8966,18.7,18.68
159,160,0.8926,0.8966,87.52,88.08
160,161,0.8926,0.8966,13.84,13.62
161,162,0.8926,0.8968,80.88,81.6
162,163,0.8924,0.8966,47.42,47.8
163,164,0.8926,0.8966,22.82,22.5
164,165,0.8924,0.8966,70.76,70.32
165,166,0.8926,0.8966,87.52,88.08
166,167,0.8924,0.8966,13.84,13.62
167,168,0.8928,0.8966,27.52,27.42
168,169,0.8926,0.8966,87.52,88.08
169,170,0.8926,0.8966,37.78,38.16
170,171,0.8926,0.8966,87.52,88.08
171,172,0.8926,0.8966,13.84,13.62
172,173,0.8926,0.8966,80.06,80.56
173,174,0.8924,0.8968,31.86,31.34
174,175,0.8924,0.8968,72.76,72.76
175,176,0.8924,0.8968,33.24,32.36
176,177,0.8924,0.8968,22.0,21.46
177,178,0.8922,0.8968,87.52,88.08
178,179,0.8924,0.8968,13.84,13.62
179,180,0.8922,0.8968,87.52,88.08
180,181,0.8924,0.8968,13.84,13.62
181,182,0.8924,0.8968,63.0,64.58
182,183,0.8924,0.8968,15.36,14.98
183,184,0.8926,0.8968,50.14,49.68
184,185,0.8926,0.8968,85.12,85.32
185,186,0.8928,0.8968,59.42,58.9
186,187,0.8928,0.8968,87.52,88.08
187,188,0.8928,0.8968,13.84,13.62
188,189,0.8928,0.8968,53.22,52.26
189,190,0.8928,0.8968,24.56,24.82
190,191,0.8928,0.8968,87.52,88.08
191,192,0.8928,0.8968,13.84,13.62
192,193,0.8928,0.8968,80.88,81.6
193,194,0.8928,0.8968,22.0,21.46
194,195,0.8928,0.8968,26.16,26.28
195,196,0.8924,0.897,82.84,83.22
196,197,0.8926,0.8968,15.28,15.12
197,198,0.8926,0.897,87.52,88.08
198,199,0.8926,0.8968,13.84,13.62
199,200,0.8926,0.897,71.42,71.16
200,201,0.8926,0.897,13.84,13.62
201,202,0.8926,0.897,60.12,59.52
202,203,0.8926,0.897,54.88,56.78
203,204,0.8926,0.8968,80.88,81.6
204,205,0.8926,0.8968,16.1,16.1
205,206,0.8926,0.8968,87.52,88.08
206,207,0.8926,0.8968,13.84,13.62
207,208,0.8926,0.8968,87.52,88.08
208,209,0.8926,0.8968,15.36,14.98
209,210,0.8926,0.8968,87.72,88.12
210,211,0.8926,0.8968,40.72,41.92
211,212,0.8926,0.8968,38.56,38.02
212,213,0.8924,0.8968,22.0,21.46
213,214,0.8926,0.8968,87.52,88.08
214,215,0.8924,0.8968,13.84,13.62
215,216,0.8922,0.8968,24.56,24.82
216,217,0.8926,0.8968,87.52,88.08
217,218,0.8924,0.8968,26.16,26.28
218,219,0.8924,0.8968,83.92,84.44
