,Iteration,Test,Train
69,70,0.7246666666666667,0.85675
70,71,0.7225,0.8579583333333334
71,72,0.7243333333333334,0.8564166666666667
72,73,0.7213333333333334,0.857875
73,74,0.7246666666666667,0.8575
74,75,0.7215,0.8575416666666666
75,76,0.7253333333333334,0.85725
76,77,0.7228333333333333,0.8583333333333333
77,78,0.7238333333333333,0.8572916666666667
78,79,0.7236666666666667,0.857875
79,80,0.7246666666666667,0.8567916666666666
80,81,0.7236666666666667,0.8579583333333334
81,82,0.725,0.8572083333333333
82,83,0.7231666666666666,0.858125
83,84,0.7243333333333334,0.8570416666666667
84,85,0.7235,0.85775
85,86,0.725,0.8567916666666666
86,87,0.7243333333333334,0.8575416666666666
87,88,0.7253333333333334,0.8572916666666667
88,89,0.724,0.8572916666666667
89,90,0.7258333333333333,0.8565833333333334
90,91,0.7251666666666666,0.8577083333333333
91,92,0.7256666666666667,0.8569583333333334
92,93,0.7246666666666667,0.8578333333333333
93,94,0.7255,0.857
94,95,0.7236666666666667,0.8582083333333334
95,96,0.7246666666666667,0.8573333333333333
96,97,0.724,0.8583333333333333
97,98,0.7248333333333333,0.857625
98,99,0.7228333333333333,0.857875
99,100,0.7243333333333334,0.8574583333333333
100,101,0.7231666666666666,0.8581666666666666
101,102,0.7251666666666666,0.8575833333333334
102,103,0.7228333333333333,0.8583333333333333
103,104,0.7241666666666666,0.8572916666666667
104,105,0.722,0.858125
105,106,0.7233333333333334,0.8573333333333333
106,107,0.7228333333333333,0.8582916666666667
107,108,0.7238333333333333,0.857375
108,109,0.7231666666666666,0.857875
109,110,0.7243333333333334,0.8571666666666666
110,111,0.7235,0.8577083333333333
111,112,0.7245,0.8567916666666666
112,113,0.7223333333333334,0.8578333333333333
113,114,0.7243333333333334,0.8569583333333334
114,115,0.723,0.8580833333333333
115,116,0.7243333333333334,0.8570833333333333
116,117,0.7236666666666667,0.8575416666666666
117,118,0.7241666666666666,0.8572916666666667
118,119,0.7233333333333334,0.857625
119,120,0.7243333333333334,0.8572916666666667
120,121,0.723,0.857625
121,122,0.7241666666666666,0.8575416666666666
122,123,0.7233333333333334,0.8584166666666667
123,124,0.7245,0.8583333333333333
124,125,0.724,0.858875
125,126,0.7248333333333333,0.8582083333333334
126,127,0.7233333333333334,0.8588333333333333
127,128,0.7241666666666666,0.858125
128,129,0.724,0.858375
129,130,0.7246666666666667,0.8579166666666667
130,131,0.7243333333333334,0.858375
131,132,0.7246666666666667,0.8579583333333334
132,133,0.7241666666666666,0.8585833333333334
133,134,0.725,0.8578333333333333
134,135,0.724,0.8584166666666667
135,136,0.7245,0.8580833333333333
136,137,0.7243333333333334,0.8587916666666666
137,138,0.7246666666666667,0.8582916666666667
138,139,0.7231666666666666,0.8588333333333333
139,140,0.7236666666666667,0.8582916666666667
140,141,0.7231666666666666,0.8589583333333334
141,142,0.7236666666666667,0.8581666666666666
142,143,0.7235,0.859
143,144,0.7241666666666666,0.8584583333333333
144,145,0.723,0.8593333333333333
145,146,0.7241666666666666,0.8586666666666667
146,147,0.724,0.8594166666666667
147,148,0.7248333333333333,0.8588333333333333
148,149,0.7236666666666667,0.8594583333333333
149,150,0.725,0.8590416666666667
150,151,0.724,0.859625
151,152,0.7248333333333333,0.8590416666666667
152,153,0.7236666666666667,0.8593333333333333
153,154,0.7253333333333334,0.8593333333333333
154,155,0.7241666666666666,0.8595
155,156,0.7248333333333333,0.8587916666666666
156,157,0.7236666666666667,0.8594166666666667
157,158,0.7243333333333334,0.8588333333333333
158,159,0.7238333333333333,0.85925
159,160,0.725,0.8590833333333333
160,161,0.7235,0.8596666666666667
161,162,0.7238333333333333,0.85925
162,163,0.724,0.8598333333333333
163,164,0.7246666666666667,0.8595
164,165,0.7241666666666666,0.8595833333333334
165,166,0.725,0.8591666666666666
166,167,0.7241666666666666,0.8595416666666666
167,168,0.7246666666666667,0.8592916666666667
168,169,0.7238333333333333,0.8595833333333334
169,170,0.7241666666666666,0.8592083333333334
170,171,0.724,0.8595833333333334
171,172,0.7243333333333334,0.8590833333333333
