,Iteration,Test,Train
0,1,0.6536666666666666,0.7740416666666666
1,2,0.7198333333333333,0.815
2,3,0.6718333333333333,0.8185
3,4,0.7098333333333333,0.8305
4,5,0.6768333333333333,0.834625
5,6,0.7058333333333333,0.8373333333333334
6,7,0.688,0.8419583333333334
7,8,0.7076666666666667,0.8417916666666667
8,9,0.6903333333333334,0.8453333333333334
9,10,0.708,0.8452916666666667
10,11,0.6953333333333334,0.848375
11,12,0.708,0.8468333333333333
12,13,0.6978333333333333,0.8498333333333333
13,14,0.7088333333333333,0.8489166666666667
14,15,0.6995,0.851
15,16,0.7066666666666667,0.849
16,17,0.6993333333333334,0.8523333333333334
17,18,0.7065,0.8502083333333333
18,19,0.699,0.8527916666666666
19,20,0.704,0.850625
20,21,0.7001666666666667,0.8537083333333333
21,22,0.7051666666666667,0.8512083333333333
22,23,0.7,0.8538333333333333
23,24,0.7041666666666667,0.8507916666666666
24,25,0.6996666666666667,0.8527083333333333
25,26,0.7055,0.851125
26,27,0.7013333333333334,0.853125
27,28,0.7046666666666667,0.8510833333333333
28,29,0.701,0.854375
29,30,0.7063333333333334,0.8524166666666667
30,31,0.7018333333333333,0.8543333333333333
31,32,0.7071666666666667,0.8524583333333333
32,33,0.7033333333333334,0.8539583333333334
33,34,0.7061666666666667,0.8530833333333333
34,35,0.7021666666666667,0.8540833333333333
35,36,0.7053333333333334,0.853125
36,37,0.7003333333333334,0.8545833333333334
37,38,0.7046666666666667,0.853375
38,39,0.7013333333333334,0.8540833333333333
39,40,0.7053333333333334,0.8525833333333334
40,41,0.7021666666666667,0.8545
41,42,0.7045,0.8535833333333334
42,43,0.7015,0.85475
43,44,0.7048333333333333,0.8540416666666667
44,45,0.7016666666666667,0.8549166666666667
45,46,0.7036666666666667,0.854
46,47,0.6995,0.8552916666666667
47,48,0.7035,0.8538333333333333
48,49,0.701,0.854625
49,50,0.7045,0.85375
50,51,0.7021666666666667,0.8545
51,52,0.7043333333333334,0.8537083333333333
52,53,0.7018333333333333,0.8552916666666667
53,54,0.7038333333333333,0.8545
54,55,0.7025,0.8552083333333333
55,56,0.7045,0.8547916666666666
56,57,0.703,0.8551666666666666
57,58,0.7048333333333333,0.8544166666666667
58,59,0.7035,0.8553333333333333
59,60,0.7053333333333334,0.854125
60,61,0.704,0.8549583333333334
61,62,0.705,0.854125
62,63,0.7036666666666667,0.8550416666666667
63,64,0.7061666666666667,0.85425
64,65,0.704,0.855625
65,66,0.7063333333333334,0.8555
66,67,0.7035,0.8557083333333333
67,68,0.7051666666666667,0.85525
68,69,0.7031666666666667,0.8559166666666667
69,70,0.7046666666666667,0.855625
